schuljahr,halbjahr,klasse,fach,lehrer
2023,1,WG11B,GG,NEUH
2023,1,WG11B,BWL,HOTF
2023,1,WG11B,VWL,NEUH
2023,1,WG11B,MA,MEIN
2023,1,WG11B,WIF,HOTF
2023,1,WG11B,SP,NEUJ
2023,1,BA3O,VWL,KEES
2023,1,BA3O,D-TV,ARND
2023,1,BA3O,PG,NEUH
2023,1,WG11A,D,JACK
2023,1,WG11A,GG,SCAU
2023,1,WG11A,VWL,KERS
2023,1,WG11A,MA,TESC
2023,1,WG11A,WIF,ROER
2023,1,WG11A,WIF,SCOP
2023,1,WG11A,SP,MIECK
2023,1,H11A,MA,SCOP
2023,1,GBO,GHP,WAID
2023,1,GTU2,WSP,SONN
2023,1,GTO1,GHP,SCEI
2023,1,GTO3,WSP,SCEI
2023,1,FVU1,ER,JACK
2023,1,H12B,MA,RIEG
2023,1,EHU3,WBP,FUCH
2023,1,EVM1,KKS,BART
2023,1,GTU1,KR,PILA
2023,1,GTU2,KR,PILA
2023,1,H11H,BWRW,LUKA
2023,1,H11H,VWL,SENG
2023,1,H11H,INWI,PRESS
2023,1,H11H,MA,SCAF
2023,1,H11H,PG,ROES
2023,1,H12C,PG,REIC
2023,1,H12D,PG,NEE
2023,1,GTM2,KSK,UPHO
2023,1,EVM1,ER,JACK
2023,1,EVM1,D,FABE
2023,1,EVM1,SP,BERN
2023,1,KBU1,BP,WEHL
2023,1,KBU1,GP,PIER
2023,1,KBU1,D,HOLL
2023,1,KBU2,BP,STEC
2023,1,KBU2,GP,SIND
2023,1,KBU3,BP,PIER
2023,1,KBU4,BP,EICH
2023,1,KBU4,GP,SPEI
2023,1,KBU5,BP,HUES
2023,1,KBU5,GP,EICH
2023,1,KVM1,GP,SPEI
2023,1,KVM1,D,PESCH
2023,1,KVM1,STK,BERL
2023,1,KVM1,E,GROS
2023,1,ITFO1,D-PM,SCWA
2023,,KVM1,SP,GROS
2023,1,DRM,WSP,PILA
2023,1,FVU1,WSP,SCWB
2023,1,KBM1,BP,HUES
2023,1,KBM1,GP,PIER
2023,1,KBM1,STK,HANS
2023,1,KBM1,E,STEC
2023,1,KBM1,D,PESCH
2023,,KBM1,SP,SIND
2023,1,KBM2,GP,EICH
2023,1,KBM2,STK,HANS
2023,1,KBM2,E,HOLL
2023,,KBM2,KR,NEUH
2023,1,KBM2,D,HOLL
2023,1,KBM2,SP,SIND
2023,1,KBM3,BP,EICH
2023,1,KBM3,GP,SIND
2023,1,KBM3,STK,PRESS
2023,1,KBM3,E,STEC
2023,1,KBM3,ER,SCAU
2023,1,KBM3,D,HOLL
2023,,KBM3,SP,SIND
2023,1,KBM4,GP,SAND
2023,1,KBM4,STK,SIEG
2023,1,KBM4,E,SIEB
2023,,KBM4,ER,BAUE
2023,1,KBM4,D,VINN
2023,1,KBM4,SP,SIND
2023,1,KVO1,GP,SPEI
2023,1,KVO1,STK,BERL
2023,1,KVO1,E,GROS
2023,1,KVO1,ER,SCAU
2023,1,KVO1,D,PESCH
2023,1,BF2A,GP,LANK
2023,1,BF2A,E,SIEB
2023,1,BF2A,D,FEYE
2023,1,BF2A,SP,SCMI
2023,1,BF2A,GP,HANS
2023,1,BF2B,GP,LANK
2023,1,BF2B,GWP,WEHL
2023,1,BF2B,GP,SCWB
2023,1,BF2B,MA,PILA
2023,1,BF2B,E,SIEB
2023,1,BF2B,D,SIEB
2023,1,BF2B,SP,BRAN
2023,1,H11B,BWRW,LANK
2023,1,H11B,VWL,SALZ
2023,1,H11B,INWI,PLOG
2023,1,H11B,SP,RIEG
2023,1,H11B,D,OSSIO
2023,1,H11B,MA,KURZ
2023,1,BF1A,PG,ROTH
2023,1,BF2A,PG,NEE
2023,1,BF2B,PG,STUH
2023,1,FHDU,E,DAGO
2023,1,FHDU,MA,ROES
2023,1,MAKM2,WSP,SCAF
2023,1,MAKM2,FMC,DIET
2023,1,MAKM2,D,HOLL
2023,1,EVO1,WSP,GLISS
2023,1,EVO1,WSP,PILA
2023,1,EHM5,WBP,LEHK
2023,1,BF2C,GP,STRE
2023,1,BF2C,GWP,KLAP
2023,1,BF2C,GP,SCWB
2023,1,BF2C,MA,KURZ
2023,1,BF2C,E,SIEB
2023,1,BF2C,D,BAUE
2023,1,BF2C,PG,STUH
2023,1,MAKU1,E,EWEN
2023,1,MEDU,E,EWEN
2023,1,FHDM,E,DAGO
2023,1,FHDM,MA,ROES
2023,1,FHDM,BIO,DAGO
2023,1,FHDM,SP,MIECK
2023,,FHDM,ER,KERS
2023,1,GTU1,KSK,UPHO
2023,1,GTU2,KSK,UPHO
2023,1,GTM1,GHP,EMKE
2023,1,KBO1,BP,EICH
2023,1,KBO1,GP,EICH
2023,1,KBO1,STK,SIEG
2023,1,KBO1,E,SIND
2023,1,KBO1,D,OSSIO
2023,1,KBO3,BP,WEHL
2023,1,KBO3,GP,WEHL
2023,1,KBO3,STK,BERL
2023,1,KBO3,E,GROS
2023,1,KBO3,D,OSSIO
2023,1,KBO4,BP,BENE
2023,1,KBO4,STK,BERL
2023,1,KBO4,E,GROS
2023,1,KBO4,D,SIEB
2023,1,KBO5,BP,EICH
2023,1,KBO5,GP,EICH
2023,1,KBO5,E,SIND
2023,1,KBO5,D,OSSIO
2023,1,H12D,D-KL,RAMM
2023,1,H11C,BWRW,SALZ
2023,1,H11C,VWL,ROEN
2023,1,H11C,INWI,WEHL
2023,1,H11C,E,STRA
2023,1,H11C,SP,SCAE
2023,1,H11C,D,VINN
2023,1,H12C,D-KL,KLAP
2023,1,H11H,D-KL,LUKA
2023,1,KBM5,GP,SAND
2023,,KBM5,ER,SCAU
2023,1,KBM5,D,HOLL
2023,1,KBM5,SP,GROS
2023,1,H11H,SP,NEUJ
